"pname","pid","grid_id","pattern_id","num_clicks","uLSC","uInt","fLSC_nondetrended","fInt_nondetrended","time_taken","final_grid","fLSCpold","fIntpold","uLSCr","uIntr","fLSCr","fIntr","uLSCp","uIntp","fLSCp","fIntp","uLSCdiffr","uIntdiffr","uLSCdiffp","uIntdiffp","pattern","uLSCsq","uLSCpsq","uIntsq","uIntpsq","fLSCpoldsq","fLSCpsq","fIntpoldsq","fIntpsq","predicted_clicks","residuals"
"ewrp65l2","3","17",73,81,-0.496510251319069,-0.479320378216883,0.586131803873728,40,26,"011111001111111111100111110100011001111111111100110001100000111111111111111000001100101111111111111111101001110011111111111111111110011110111111111111111111111011001111111111111111111111100001111111111111111111111100111111111111111111111111111111111111100000001111111111111111111101011001111111111111111111110001001111111111111111111010011001111111111111111111000011001111111111111111111010010101111111111111111111001000101111111111111111111110100011111111111111111111111010101111111111111111111111100001111111111001111111111111111111111100001111111111111111111111100110111111111111111111111011110011111111111111111110011100101111111111111111101001100000111111111111111000001100011001111111111100110001011111001111111111100111110",-1.41305421579597,-1.27229717850391,-2.63942347888456,-2.13659887024999,-2.11727876932805,-1.90434206013748,-1.71765923945065,-1.00391779588339,-1.11152848711829,-0.886452184996111,0.821301715572718,0.999803099113612,0.255106878536813,0.0225140876551144,"73",-0.781567786159984,-1.90073084452364,-0.593620312590316,-0.736462143205044,0.278555040080554,0.0599291691319351,0.401167435647363,-0.0796282111332833,17.3206111390317,63.6793888609683
"3gdlkahf","24","30",39,81,0.175856103658755,0.0153233583714391,0.770231161739177,62,121,"000110000000000000000011000011011100011111110001110110011101100011111110001101110101011111111000111111110101110111000111101111000111011011111111011111110111111110011101111111111111111101110000101111111111111111101000000101111111111111111101000000110111111101111111011000011111111111111111111111110011111111110111011111111110011011111111111111111110110011001111011101110111100110011011111111111111111110110011111111110111011111111110011111111111111111111111110000110111111101111111011000000101111111111111111101000000101111111111111111101000011101111111111111111101110011111111011111110111111110110111000111101111000111011101011111111000111111110101011101100011111110001101110011011100011111110001110110000110000000000000000011000",0.924959317782591,0.568552389548222,-1.21509684219372,-1.33822308719914,-0.842179050693485,-1.17107657821861,-0.0986867130799282,-0.00442447785281178,0.377585129616596,0.0308003465255809,0.821301715572717,0.999803099113612,0.255106878536813,0.0225140876551144,"39",-0.00944692635905348,-0.205885295081379,-0.271591375038241,-0.133357745340247,-0.0222533041074239,-0.283119622161153,-0.326153215933509,-0.382565833226017,18.6784243716243,62.3215756283757
"fnm2xt8h","21","19",60,81,0.116697159033112,0.28512903287416,0.754032963187231,74,40,"000000001111111111100000000010100101111111111101001010000000001111111111100000000010100000000000000000001010000000000000000000000000000000000010010000010010000000010000000000000000000000010000001000000010000000100000111000001010000010100000111111000000000000000000000111111001001010101010100100111111000000000000000000000111111000000010000010000000111111000010000010000010000111111000000010000010000000111111000000000000000000000111111001001010101010100100111111000000000000000000000111111000001010000010100000111000001000000010000000100000010000000000000000000000010000000010010000010010000000000000000000000000000000000010100000000000000000001010000000001111111111100000000010100101111111111101001010000000001111111111100000000",0.0915080954168721,0.19193498270008,-1.34041789671259,-0.902745387353225,-0.958862667813063,-0.704763427240404,-0.241133915157978,0.540753695618411,0.246563716451723,0.531119909173777,0.821301715572721,0.999803099113612,0.255106878536816,0.0225140876551144,"60",-0.0857925303026578,-0.373467876772885,-0.0373885113640055,0.30526363492506,-0.30917129742414,-0.313159793749669,-0.380307291593015,-0.27605249414916,19.9442686811567,61.0557313188433
"9lp1g6vx","17","1",93,81,0.016562761115992,1.00461083154808,0.726615353397115,106,27,"110111101101010101101111011111111111111111111111111111011011100111101111001110110110111111111111111111111011111110100111000111001011111111100011111111111110001111111110110101010101011011111010101111111111111111101010110101011101101101110101011111111111111111111111111111011111010111111111010111110111111111111101111111111111011101011111000111110101110110101110110000011011101011011101011111000111110101110111111111111101111111111111011111010111111111010111110111111111111111111111111111110101011101101101110101011010101111111111111111101010111110110101010101011011111111100011111111111110001111111110100111000111001011111110111111111111111111111011011011100111101111001110110111111111111111111111111111110111101101010101101111011",-0.816429042335232,0.804378242434441,-1.55254048307706,0.258528478902551,-1.14714063185857,0.427906437287912,-0.482244788675482,1.99456215820834,0.02479251338959,1.86530540956897,0.821301715572717,0.999803099113612,0.25510687853681,0.0225140876551144,"93",-0.211319948678686,-0.649007105725241,0.789209831015651,1.85333909468497,-0.124770400546467,-0.337526621588401,-0.239088125867141,0.945794045319105,20.7970088927473,60.2029911072527
"5zutaosy","7","4",39,80,0.175856103658755,0.0153233583714391,0.803936076906417,61,23,"000110000000000000000011000011011100011111110001110110011101100011111110001101110101011111111000111111110101110111000111101111000111011011111111011111110111111110011101111111111111111101110000101111111111111111101000000101111111111111111101000000110111111101111111011000011111111111111111111111110011111111110111011111111110011011111111111111111110110011001111011101110111100110011011111111111111111110110011111111110111011111111110011111111111111111111111110000110111111101111111011000000101111111111111111101000000101111111111111111101000011101111111111111111101110011111111011111110111111222110111000111101111000111222101011111111000111111110222011101100011111110001101110011011100011111110001110110000110000000000000000011000",0.258532658367083,0.0652225841343505,-1.19854139701062,-1.39664967859513,-0.84087375610111,-1.14444961937798,-0.0841487834649835,-0.106403728386879,0.360176477270027,-0.0424920806342862,0.812737349870334,1.04266222511062,0.248003751681686,0.0873951630341599,"39",-0.00944692635905348,-0.18858178600008,-0.271591375038241,-0.206811193501276,-0.28665934990331,-0.287780426471183,-0.375054660864737,-0.382060514060348,20.7809360056148,59.2190639943852
"urgkmyva","9","8",36,81,-2.55751497275902,-1.26625359551649,0.0218120056481487,5,71,"100000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000001",-6.25078491244402,-3.93677733723328,-7.00541220119255,-3.40674216146724,-6.01648368893323,-3.09880012402674,-6.68029604604945,-2.59402080184112,-5.67610875222145,-2.34571757605335,0.821301715572715,0.999803099113612,0.25510687853681,0.0225140876551144,"36",-1.84239784314613,-4.22930813650498,-0.819643296834753,-1.15976402673314,11.8123500870062,10.4637538580894,5.87195104343379,1.73110556431987,137.096744225185,-56.0967442251853
"0evomqv4","18","34",93,81,0.016562761115992,1.00461083154808,0.726615353397115,106,33,"110111101101010101101111011111111111111111111111111111011011100111101111001110110110111111111111111111111011111110100111000111001011111111100011111111111110001111111110110101010101011011111010101111111111111111101010110101011101101101110101011111111111111111111111111111011111010111111111010111110111111111111101111111111111011101011111000111110101110110101110110000011011101011011101011111000111110101110111111111111101111111111111011111010111111111010111110111111111111111111111111111110101011101101101110101011010101111111111111111101010111110110101010101011011111111100011111111111110001111111110100111000111001011111110111111111111111111111011011011100111101111001110110111111111111111111111111111110111101101010101101111011",0.493612405637753,0.0546632175872062,-1.55254048307706,0.258528478902551,-1.14631025250856,0.383869543820717,-0.482244788675482,1.99456215820834,0.02479251338959,1.86530540956897,0.821301715572717,0.999803099113612,0.25510687853681,0.0225140876551144,"93",-0.211319948678686,-0.649007105725241,0.789209831015651,1.85333909468497,-0.225263260619077,-0.337526621588401,-0.37408347132904,0.945794045319105,25.4046727045999,55.5953272954001
"jzptv7f8","1","10",36,81,-2.55751497275902,-1.26625359551649,0.0218120056481487,5,46,"100000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000001",-5.82902109012836,-2.31767446667118,-7.00541220119255,-3.40674216146724,-6.01967778281443,-3.00082657034392,-6.68029604604945,-2.59402080184112,-5.67610875222145,-2.34571757605335,0.821301715572715,0.999803099113612,0.25510687853681,0.0225140876551144,"36",-1.84239784314613,-4.22930813650498,-0.819643296834753,-1.15976402673314,10.2213911029443,10.4637538580894,1.92463552773562,1.73110556431987,136.543550750546,-55.5435507505457
"0evomqv4","18","2",9,81,-1.25984121412439,0.105258583205679,0.37712559907053,66,35,"101001111111111111111100101010110111111111111111011010101011111111111111111110101010111111111111111111111010011111111111111111111111110101111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111101111111111111111111111111000111111111111111111111110101011111111111111111111000000000111111111111111111110101011111111111111111111111000111111111111111111111111101111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111101011111111111111111111111110010111111111111111111111010101011111111111111111110101010110111111111111111011010101001111111111111111100101",-2.64459170956732,-1.15614414648532,-4.25644761295257,-1.19306385391717,-3.5630621521092,-0.956354051157634,-3.55566295299263,0.177301579970929,-2.80210464753049,0.197573534074979,0.821301715572711,0.999803099113612,0.255106878536807,0.0225140876551144,"9",-1.40409540417843,-3.26721142772596,-0.198115966826717,0.00424896219396712,1.81876250541964,2.26873618472542,0.281546978046359,-0.368375272516988,25.8446751300185,55.1553248699815
"hl7ol539","4","38",93,81,0.016562761115992,1.00461083154808,0.726615353397115,106,50,"110111101101010101101111011111111111111111111111111111011011100111101111001110110110111111111111111111111011111110100111000111001011111111100011111111111110001111111110110101010101011011111010101111111111111111101010110101011101101101110101011111111111111111111111111111011111010111111111010111110111111111111101111111111111011101011111000111110101110110101110110000011011101011011101011111000111110101110111111111111101111111111111011111010111111111010111110111111111111111111111111111110101011101101101110101011010101111111111111111101010111110110101010101011011111111100011111111111110001111111110100111000111001011111110111111111111111111111011011011100111101111001110110111111111111111111111111111110111101101010101101111011",-0.61028982307262,1.25139142626354,-1.55254048307706,0.258528478902551,-1.14578918071955,0.465115905411356,-0.482244788675482,1.99456215820834,0.02479251338959,1.86530540956897,0.821301715572717,0.999803099113612,0.25510687853681,0.0225140876551144,"93",-0.211319948678686,-0.649007105725241,0.789209831015651,1.85333909468497,-0.212108958777584,-0.337526621588401,0.0382845174430132,0.945794045319105,26.9625124304096,54.0374875695904
