name,range,patternnum,pattern_id,uLSC,uInt,stimuli
0.1920_9neigh_outertot_code256746_IC2_iter10.png,1,1,1,0.1588315740704078,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011010110000000000000000000111111111000000000000000000111111111000000000000000000111111111000000000000000000001111100000000000000000000001111100000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0.5089_5neigh_tot_code56_IC3_iter10.png,1,2,2,0.6846668431999672,7,000000000000000000000000000000000000000000000000000000011000000000000000000011100011111000000000000000011100001111000000000000000111100000111000000000000001111000000111000111111111111100000000000001111111111111100000000000001111111100111000000000000011100000000110000000000000011100000000110000000000001111100000000111110000000001001100000000111110000001111000000001111111111100011111000000001111111111110011111000000001111111111110011111000000001110011001110011111111111111100010001110001111111111111000001000110001111111111111000011000000001111111111111000011000000111111111100011000000000000111111111100000000000000000111111111111100000000000000000011111111110000000110000000011110011110000000111100000011100000000000000011100
0.5895_5neigh_outertot_code491_IC1_iter20.png,1,3,4,0.7758467648914809,36,111111111111111111111111111100000000000000000000000001101111111111111111111111101101000000000000000000000101101011111111111111111110101101010000000000000000010101101010111111111111111010101101010100011101110001010101101010101110111011101010101101010101111111111101010101101010111110101011111010101101010110101111101011010101101010111111101111111010101101010101101000101101010101101010111111101111111010101101010110101111101011010101101010111110101011111010101101010101111111111101010101101010101110111011101010101101010100011101110001010101101010111111111111111010101101010000000000000000010101101011111111111111111110101101000000000000000000000101101111111111111111111111101100000000000000000000000001111111111111111111111111111
0.6034_5neigh_tot_code478_IC2_iter40.png,1,4,3,0.7625797989041064,60,111111111111111111111111111111000011000010000110000111110100111100111001111001011101110011111111111110011101100101001111111111100101001100011100111111111001110001101001111111111111111100101111100111111111111111001111111110111111111111111011111101111111111111111111111101100111111111111111111111001100111111111111111111111001101010111011010110111010101111110010111111111010011111111111000111010111000111111101011011111111111110110101101011111101111101111110101111110111111111111111011111111110110111010111011011111111011011111111111110110111111101101110010011101101111111110110011000110011011111101111011001101100110111101101111111111000111111111101110111111111111111111111011111001110011111110011100111111111111111111111111111111
0.6684_5neigh_outertot_code475_IC1_iter10.png,1,5,6,0.8933253295145774,46,111001110000000000011100111111111111111111111111111111111101110000000000011101111011111111111111111111111110010111110000010000011111010111111111111101111111111111111111110000101000011111111111111110001101100011111111010101001111000111100101010010101001111101111100101010010101001110000011100101010010101011101101101110101010010101110101000101011101010010110000000000000000011010010101110101000101011101010010101011101101101110101010010101001110000011100101010010101001111101111100101010010101001111000111100101010111111110001101100011111111111111110000101000011111111111111111111101111111111111010111110000010000011111010011111111111111111111111110111101110000000000011101111111111111111111111111111111111001110000000000011100111
0.7108_9neigh_outertot_code93737_IC2_iter35.png,1,6,5,0.8345115362844759,131,010110110000100011011000001100000000010001000000000111000000100100000101101001010000010101000000101001000111110010000000100000000000000000000010110110010010000100000111010000000100011000001010000000000000000000011001010010001000110101000001000000110011001000100000100011010000000000000010101001000001010000010111000000001001100101011000010001010100010110000000010001010010110100000010000100010000000000101100100110001000111100100000100000010100100011111000010101101000110000000011000101000011010000010010000100000000100001011010010110001011010000100001000000001001000100101000000000100000100011000000000100010001000000100011011101000101000100010000000000000100010001000010000100101010010000010010100001010101010100111001010100010
0.7689_9neigh_outertot_code143954_IC3_iter35.png,1,7,7,0.970575943324718,106,000101100010001101111011000010100011101111010011000010011100100011000001110011110010011101010100010000001101100001101010111100010000011000110111011010101001110001011100111011000101000100001011000001101011010000001101111000110001110111111111001000111110000110100001110101011010001011000000000111000001100101101010101100001011100000001000010001010110110111000000111101110010110010011000010000010110010001010000001000000100110111111100000000000011011110001010001100010010001101111101100101000001001111000011101010100011101100001101010101001100011000010110011010110110000101110011100000000101011100101110001101011000001010110001001110000010000001000111111010100010100000011000001010111111000000100011000110101010100100011100101010000
0.2088_5neigh_outertot_code174_IC1_iter05.png,2,1,8,0.1503843675749793,26,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000010000000000000000000000000101000000000000000000000001010100000000000000000000110101011000000000000000000001010100000000000000000000000101000000000000000000000000010000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0.3799_5neigh_outertot_code469_IC1_iter10.png,2,2,9,0.3771255990705298,66,101001111111111111111100101010110111111111111111011010101011111111111111111110101010111111111111111111111010011111111111111111111111110101111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111101111111111111111111111111000111111111111111111111110101011111111111111111111000000000111111111111111111110101011111111111111111111111000111111111111111111111111101111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111101011111111111111111111111110010111111111111111111111010101011111111111111111110101010110111111111111111011010101001111111111111111100101
0.5283_5neigh_tot_code30_IC3_iter05.png,2,3,10,0.6866368918045108,27,111111111111111111111111111101111111111111110111110001111111111111111111111111101111010011111100001000111111111111111111000000000011111111111111111000000000011111101111111110000000000011111111111111100000000000111111111111001000000000001111111111010000000000000011111101111000100000010000011111101111001110000111000111011111111011111001111101111111111111111111111111110111111101111011111111111100011011111111001111111111000001110101111000111111110000011111101101100111111111000111101111111001111101110000011111101111101111111100001001111111111110111111110011111111101111100011111111111111111111111000001111111111111111111111000001111111111111111011111111111111111111111111001101111111100001110110010001111111111111111111111111111
