"Variable","Coefficients","StdError","PValue","Significance"
"(Intercept)",28.4568454820589,2.89081337792476,1.3607900467355e-10,"***"
"fLSC",9.75746952260097,0.630096098248424,1.44451259537755e-49,"***"
"fInt",-5.58532197287902,0.5453275817135,1.11576831241472e-23,"***"
"fLSC:uLSC",5.9162566663302,0.41889437387646,4.35391518307286e-42,"***"
"fInt:uInt",4.5411788194897,0.401844409754193,2.9885064574159e-28,"***"
